ID,SKILL,FIELD,EDUCATION_LEVEL,EXPERIENCE,ALLOW_WFH
1,"SQL,CSS",IT,DBM,RUBY ON RAILS DEVELOPER,1
2,"FORTRAN,CSS,KOTLIN",CS,DBMP,DATA SCIENTIST,1
3,"DART,RUST,C/C++",CS,DBM,,1
4,"JULIA,KOTLIN,C#",CS,DB,BACKEND DEVELOPER,1
5,RUBY,IT,BM,"MEAN STACK DEVELOPER,PYTHON DEVELOPER",0
6,"RUST,RUBY,C/C++",CS,DBM,"DATA ANALYST,DATA ANALYST",1
7,"DART,COBOL,PHP",CS,BMP,,0
8,"SQL,C/C++",CS,BM,,0
9,HTML,CS,DBMP,REACTJS DEVELOPER,1
10,"RUST,C/C++",IT,BM,,1
11,PYTHON,IT,DB,DATA ANALYST,0
12,"PHP,OBJECTIVE-C",CS,DBM,"DATA SCIENTIST,PYTHON DEVELOPER",1
13,C#,IT,DBM,,1
14,"PYTHON,PHP,PERL",CS,DBM,,0
15,OBJECTIVE-C,IT,BMP,"DATA ANALYST,PYTHON DEVELOPER",0
16,PHP,CS,BM,"MERN STACK DEVELOPER,DATA SCIENTIST",0
17,"C/C++,C#",IT,DBM,"DATA ANALYST,DATA SCIENTIST",1
18,"CSS,SWIFT,JULIA",IT,B,,1
19,"COBOL,C#",IT,BMP,"PYTHON DEVELOPER,BACKEND DEVELOPER",1
20,"CSS,R",IT,DBM,JAVASCRIPT DEVELOPER,1
21,FORTRAN,CS,DBM,"BACKEND DEVELOPER,PYTHON DEVELOPER",1
22,"DART,SWIFT,CSS",IT,DBMP,WEB DEVELOPER,1
23,"JULIA,R",CS,BM,JAVASCRIPT DEVELOPER,1
24,JAVA,IT,DB,"BACKEND DEVELOPER,DATA SCIENTIST",0
25,JULIA,IT,BM,,1
26,"PERL,RUBY,SQL",CS,DB,RUBY ON RAILS DEVELOPER,1
27,"R,DART",IT,B,,1
28,"R,FORTRAN",CS,B,FRONTEND DEVELOPER,0
29,"PHP,CSS",IT,DB,FRONTEND DEVELOPER,0
30,PYTHON,CS,DBMP,"FRONTEND DEVELOPER,FRONTEND DEVELOPER",1
31,"RUBY,R",IT,DB,"FRONTEND DEVELOPER,MEAN STACK DEVELOPER",0
32,SQL,CS,DBM,PYTHON DEVELOPER,0
33,DART,CS,BM,,0
34,"DART,JAVA",CS,DBM,,1
35,"HTML,JAVASCRIPT",IT,DB,JAVASCRIPT DEVELOPER,1
36,RUST,CS,B,DATA ANALYST,1
37,JAVA,CS,B,WEB DEVELOPER,0
38,"C#,PYTHON,SWIFT",CS,BM,FRONTEND DEVELOPER,0
39,"JULIA,COBOL,RUBY",IT,BM,BACKEND DEVELOPER,0
40,"JAVA,C#",CS,DBMP,,0
41,"PYTHON,PERL",IT,DB,"JAVASCRIPT DEVELOPER,BACKEND DEVELOPER",1
42,"KOTLIN,C/C++,COBOL",IT,DB,,0
43,"RUST,OBJECTIVE-C,RUBY",CS,BM,DATA ANALYST,0
44,"COBOL,SQL",IT,B,,1
45,"JAVASCRIPT,RUST",IT,BMP,,1
46,RUST,CS,BMP,,0
47,"JAVASCRIPT,JAVA",CS,DBM,WEB DEVELOPER,1
48,PERL,IT,DBMP,,1
