,ID,POSITION,SKILL,FIELD,POSITION_TYPE,EDUCATION_LEVEL,DURATION,ALLOW_WFH,tags
0,1,FRONTENDDEVELOPER,HTML R RUBY,CS,F,MP,6,1,FRONTENDDEVELOPER HTML R RUBY
1,2,MEANSTACKDEVELOPER,RUBY,CS,FT,M,6,0,MEANSTACKDEVELOPER RUBY
2,3,FULLSTACKDEVELOPER,C#,CS,F,BM,3,0,FULLSTACKDEVELOPER C#
3,4,MEANSTACKDEVELOPER,KOTLIN,IT,FT,BM,6,0,MEANSTACKDEVELOPER KOTLIN
4,5,WEBDEVELOPER,PYTHON OBJECTIVE-C JAVA,CS,FT,B,6,1,WEBDEVELOPER PYTHON OBJECTIVE-C JAVA
5,6,PRODUCTMANAGER,COBOL,IT,FT,MP,6,1,PRODUCTMANAGER COBOL
6,7,FULLSTACKDEVELOPER,RUST PYTHON,IT,PT,DBM,12,0,FULLSTACKDEVELOPER RUST PYTHON
7,8,MEANSTACKDEVELOPER,FORTRAN,CS,FT,P,3,1,MEANSTACKDEVELOPER FORTRAN
8,9,FRONTENDDEVELOPER,OBJECTIVE-C PERL,CS,PT,B,2,1,FRONTENDDEVELOPER OBJECTIVE-C PERL
9,10,PRODUCTMANAGER,SWIFT CSS DART,CS,FT,BM,2,1,PRODUCTMANAGER SWIFT CSS DART
10,11,DATAANALYST,COBOL,IT,PT,BM,1,0,DATAANALYST COBOL
11,12,PYTHONDEVELOPER,JULIA RUST PERL,IT,PT,DBMP,1,1,PYTHONDEVELOPER JULIA RUST PERL
12,13,PRODUCTMANAGER,SQL CSS,IT,PT,MP,3,0,PRODUCTMANAGER SQL CSS
13,14,PRODUCTMANAGER,FORTRAN OBJECTIVE-C,CS,FT,MP,12,1,PRODUCTMANAGER FORTRAN OBJECTIVE-C
14,15,FRONTENDDEVELOPER,COBOL,CS,F,D,12,1,FRONTENDDEVELOPER COBOL
15,16,FULLSTACKDEVELOPER,PYTHON,CS,F,D,1,1,FULLSTACKDEVELOPER PYTHON
16,17,FULLSTACKDEVELOPER,R HTML PERL,IT,FT,B,2,0,FULLSTACKDEVELOPER R HTML PERL
17,18,WEBDEVELOPER,OBJECTIVE-C PHP,IT,PT,MP,2,1,WEBDEVELOPER OBJECTIVE-C PHP
18,19,JAVASCRIPTDEVELOPER,SQL,IT,FT,DBMP,12,1,JAVASCRIPTDEVELOPER SQL
19,20,RUBYONRAILSDEVELOPER,RUST OBJECTIVE-C,CS,F,BM,2,0,RUBYONRAILSDEVELOPER RUST OBJECTIVE-C
